,Unnamed: 0,addressType,basementArea,caseUrl,energyLabel,housingArea,lotArea,monthlyExpense,numberOfFloors,numberOfRooms,perAreaPrice,priceCash,priceChangePercentage,yearBuilt,municipalityCode,numberOfBuildings,zipCode,municipality,latitude,longitude,basement,lot
8084,8084,terraced house,0.0,https://www.danbolig.dk?propertyid=0760000228&brokerid=076,d,114.0,205.0,3729,1.0,4.0,24304.0,2795000,0.0,1970.0,240,1,3650,Egedal,55.785336,12.173043,0,1
8085,8085,villa,0.0,http://www.estate-maeglerne.dk/maegler/pages/property-presentation/property.action?caseno=5711462&shopno=103335&fromsite=boligsiden&csref=boligsiden,d,195.0,882.0,2808,1.0,5.0,13355.0,2695000,0.0,1979.0,370,1,4684,Næstved,55.28165,11.791267,0,1
8086,8086,villa,0.0,https://home.dk/sag/9160001127,d,281.0,5000.0,4061,1.0,7.0,23796.0,4495000,0.0,1904.0,430,1,5792,Faaborg-Midtfyn,55.295433,10.397175,0,1
8087,8087,villa,0.0,http://www.estate-maeglerne.dk/maegler/pages/property-presentation/property.action?caseno=85602273&shopno=270229&fromsite=boligsiden&csref=boligsiden,b,168.0,950.0,2317,1.0,4.0,10454.0,2095000,0.0,2007.0,326,1,4270,Kalundborg,55.54615,11.306063,0,1
8088,8088,condo,0.0,https://www.danbolig.dk?propertyid=0350000258&brokerid=035,e,66.0,0.0,3605,1.0,2.0,27273.0,1800000,0.0,1959.0,230,1,3460,Rudersdal,55.851612,12.434468,0,0
8089,8089,condo,0.0,https://home.dk/sag/1080000793,d,82.0,0.0,3819,1.0,3.0,38963.0,3195000,0.0,1954.0,175,1,2610,Rødovre,55.6852,12.464219,0,0
8090,8090,villa,0.0,https://www.danbolig.dk?propertyid=1890000136&brokerid=189,b,191.0,992.0,2136,1.0,6.0,11210.0,2195000,0.0,2008.0,510,1,6100,Haderslev,55.1899,9.5167,0,1
8091,8091,villa,0.0,https://www.edc.dk/sag/?sagsnr=71306517,c,118.0,844.0,1665,1.0,5.0,9387.0,1149000,-8.01,1976.0,756,1,7441,Ikast-Brande,56.144745,9.263268,0,1
8092,8092,villa,0.0,http://www.boligone.dk/sag.aspx?mgl=2736&sagsnr=2736-657,d,137.0,770.0,2779,1.0,5.0,16217.0,2375000,-4.81,1978.0,370,1,4700,Næstved,55.227406,11.736108,0,1
8093,8093,villa,16.0,https://www.edc.dk/sag/?sagsnr=37104592,d,121.0,320.0,1601,3.0,4.0,9696.0,1245000,0.0,1948.0,400,1,3700,Bornholm,55.099934,14.725655,1,1
8094,8094,villa,0.0,https://www.realmaeglerne.dk/301-redirect/?mgl=R611&sagsnr=611-2867,f,129.0,8082.0,2090,1.0,4.0,10528.0,1395000,0.0,1875.0,390,1,4780,Vordingborg,55.030273,12.282681,0,1
8095,8095,condo,0.0,https://www.lokalbolig.dk/?sag=26-X0001513,d,78.0,0.0,4502,1.0,2.0,45513.0,3550000,0.0,1994.0,223,1,2960,Hørsholm,55.882885,12.529095,0,0
8096,8096,villa,97.0,http://www.nybolig.dk/maegler/pages/property-presentation/property.action?caseno=12400739&shopno=101621&fromsite=boligsiden&csref=boligsiden,e,97.0,704.0,2916,2.0,4.0,18430.0,2595000,0.0,1968.0,265,1,4130,Roskilde,55.55097,12.024141,1,1
8097,8097,villa,0.0,https://home.dk/sag/9110000621,c,108.0,900.0,1609,1.0,4.0,5652.0,650000,0.0,1976.0,420,1,5620,Assens,55.278557,10.112563,0,1
8098,8098,villa,0.0,http://www.nybolig.dk/maegler/pages/property-presentation/property.action?caseno=DA2GGA&shopno=100260&fromsite=boligsiden&csref=boligsiden,d,112.0,707.0,2379,1.0,4.0,15690.0,1995000,0.0,1963.0,621,1,6000,Kolding,55.477573,9.49198,0,1
8099,8099,villa,0.0,https://home.dk/sag/1800000664,e,101.0,700.0,2667,1.0,4.0,34254.0,3100000,0.0,1957.0,169,1,2640,Høje-Taastrup,55.652637,12.1941595,0,1
8100,8100,villa,0.0,https://www.estaldo.com/listing/f214f784-380d-47a6-9cf1-2261bcc3f3e1,c,155.0,912.0,2210,1.0,5.0,15516.0,2595000,0.0,1974.0,810,1,9320,Brønderslev,57.161133,10.149702,0,1
8101,8101,full year plot,0.0,http://www.estate-maeglerne.dk/maegler/pages/property-presentation/property.action?caseno=589988&shopno=101799&fromsite=boligsiden&csref=boligsiden,,,1011.0,276,,,129.0,130000,0.0,,360,1,4900,Lolland,54.81276,11.015043,0,1
8102,8102,villa,12.0,https://www.edc.dk/sag/?sagsnr=68008470,e,162.0,376.0,2330,3.0,6.0,13634.0,2195000,0.0,1927.0,573,1,6800,Varde,55.626015,8.48573,1,1
8103,8103,villa,113.0,http://www.jespernielsen.dk/redirect.php?mgl=2538&sagsnr=JNC02490,c,113.0,766.0,5781,2.0,4.0,75235.0,12000000,0.0,1931.0,157,1,2900,Gentofte,55.73285,12.548995,1,1
8104,8104,villa,0.0,https://www.john-ole.dk/sag.aspx?mgl=853&sagsnr=22254,e,138.0,788.0,2078,1.0,3.0,5195.0,745000,0.0,1985.0,376,1,4862,Guldborgsund,54.866344,11.7357235,0,1
8105,8105,villa,70.0,http://www.nybolig.dk/maegler/pages/property-presentation/property.action?caseno=6920&shopno=101384&fromsite=boligsiden&csref=boligsiden,c,210.0,656.0,2019,2.0,6.0,6042.0,1395000,0.0,1952.0,760,1,6900,Ringkøbing-Skjern,55.94742,8.486735,1,1
8106,8106,villa,0.0,http://www.estate-maeglerne.dk/maegler/pages/property-presentation/property.action?caseno=EBS931&shopno=270200&fromsite=boligsiden&csref=boligsiden,d,93.0,627.0,3917,1.0,4.0,39990.0,3995000,-4.77,1958.0,151,1,2760,Ballerup,55.748135,12.327266,0,1
8107,8107,villa,0.0,https://www.danbolig.dk?propertyid=3120000085&brokerid=312,d,143.0,1002.0,2911,1.0,5.0,17436.0,2598000,0.0,1961.0,851,1,9200,Aalborg,57.01217,9.888461,0,1
8108,8108,condo,0.0,http://www.nybolig.dk/maegler/pages/property-presentation/property.action?caseno=31JE1822&shopno=270123&fromsite=boligsiden&csref=boligsiden,e,66.0,0.0,3852,1.0,2.0,60591.0,3999000,0.0,1797.0,101,1,1063,København,55.67801,12.583265,0,0
8109,8109,villa,0.0,https://www.danbolig.dk?propertyid=0150000019&brokerid=015,d,180.0,2940.0,1926,2.0,4.0,9832.0,1695000,0.0,1875.0,706,1,8420,Syddjurs,56.139362,10.532813,0,1
8110,8110,condo,0.0,http://www.franklauritzen.dk/sag.aspx?mgl=2145&sagsnr=7352659,,71.0,0.0,3338,2.0,4.0,8099.0,575000,0.0,1987.0,550,1,6792,Tønder,55.08676,8.549226,0,0
8111,8111,terraced house,25.0,http://www.nybolig.dk/maegler/pages/property-presentation/property.action?caseno=12400691&shopno=101621&fromsite=boligsiden&csref=boligsiden,c,121.0,258.0,3507,3.0,4.0,25522.0,3300000,0.0,1979.0,169,1,2640,Høje-Taastrup,55.658375,12.194048,1,1
8112,8112,holiday house,0.0,http://www.nybolig.dk/maegler/pages/property-presentation/property.action?caseno=95112&shopno=101628&fromsite=boligsiden&csref=boligsiden,,110.0,528.0,4338,1.0,5.0,23409.0,2575000,-4.45,2021.0,760,1,6950,Ringkøbing-Skjern,56.12837,8.124329,0,1
8113,8113,villa,0.0,http://www.nonbo-eland.dk/redirect/?caseno=22960002172,c,133.0,883.0,3940,1.0,5.0,32360.0,4498000,0.0,1976.0,751,1,8250,Aarhus,56.233448,10.303557,0,1
8114,8114,holiday house,0.0,https://www.edc.dk/sag/?sagsnr=34010021,,96.0,1440.0,2290,1.0,4.0,33950.0,3395000,0.0,1980.0,219,1,3400,Hillerød,55.953445,12.176217,0,1
8115,8115,villa,96.0,https://www.danbolig.dk?propertyid=1900000113&brokerid=190,a2010,150.0,813.0,3736,1.0,5.0,28457.0,5485000,0.0,1972.0,253,1,2670,Greve,55.591663,12.307828,1,1
8116,8116,villa,0.0,https://www.danbolig.dk?propertyid=0490000131&brokerid=049,d,176.0,975.0,2637,1.0,4.0,12698.0,2198000,0.0,1986.0,727,1,8300,Odder,55.925533,10.148577,0,1
8117,8117,villa,89.0,http://www.nybolig.dk/maegler/pages/property-presentation/property.action?caseno=0550&shopno=102147&fromsite=boligsiden&csref=boligsiden,c,202.0,1175.0,2871,3.0,6.0,11144.0,3195000,0.0,1967.0,730,1,8920,Randers,56.467945,9.987973,1,1
8118,8118,holiday house,0.0,https://www.edc.dk/sag/?sagsnr=71104727,,97.0,2570.0,1540,1.0,4.0,13351.0,1295000,0.0,1993.0,665,1,7673,Lemvig,56.58471,8.143388,0,1
8119,8119,terraced house,0.0,https://home.dk/sag/9130001046,,117.0,127.0,2411,2.0,4.0,23889.0,2795000,0.0,2022.0,461,1,5200,Odense,55.39752,10.358447,0,1
8120,8120,villa,100.0,https://www.edc.dk/sag/?sagsnr=56103575,e,100.0,1016.0,1113,2.0,3.0,6250.0,875000,0.0,1958.0,420,1,5620,Assens,55.269897,10.075788,1,1
8121,8121,holiday house,0.0,https://home.dk/sag/7040000488,,50.0,2803.0,2126,1.0,3.0,23871.0,1295000,0.0,1965.0,760,1,6950,Ringkøbing-Skjern,56.07807,8.118633,0,1
8122,8122,villa,7.0,https://www.realmaeglerne.dk/301-redirect/?mgl=R701&sagsnr=701-5651,g,89.0,506.0,2052,1.0,3.0,15414.0,1395000,0.0,1927.0,630,1,7100,Vejle,55.69342,9.52104,1,1
