,titles,bewohner,gesucht,size,cost,apartment size,viertel
48,"Ab 8. AUGUST SOFORT ZU VERMIETEN LEVERKUSEN CITY An  Studenten oder Praktikanten Nichtraucher   Möbliertes Zimmer ( für 1.PERSON )  incl.Reinigung-Service IDEAL für Bayer Chempark/ Covestro/   Miendestmietzeit 3 Monaten €420,-","3er WG (1w,1m,0d)",Malmännliche,27.0,720.0,110.0,50825 Köln Ehrenfeld
49,Helles 27 qm Zimmer auf eigener Etage mit eigenem Balkon im Herzen von Ehrenfeld //,"2er WG (1w,0m,0d)",Mitbewohnerin oder Mitbwohner gesucht,15.0,370.0,100.0,50933 Köln Braunsfeld
50,"bitte ""NUR"" Wochenendpendler","3er WG (2w,0m,0d)",weiblich,11.0,440.0,63.0,51103 Köln Kalk
51,"Kleines Zimmer in 3-er WG in Köln-Kalk, mit Balkon und Gartenbenutzung","9er WG (0w,6m,0d)",Malmännliche,20.0,290.0,80.0,50931 Köln Lindenthal
52,Schönes und helles Zimmer in Uninähe in privatem Studentenwohnheim - ausschließlich für Studenten -,"9er WG (0w,6m,0d)",Malmännliche,20.0,290.0,False,50931 Köln Lindenthal
53,"Studentenzimmer in Verbindungsvilla (Studentenverbindung, Uninähe, großer Garten, Dachterrasse, Theke) - ausschließlich für Studenten -","2er WG (1w,0m,0d)",Mitbewohnerin gesucht,15.0,500.0,False,50735 Köln Altstadt-Nord Nippes
54,Frauen WG in Köln nähe Kinderkrankenhaus,"4er WG (2w,1m,0d)",weiblich,25.0,450.0,52.0,51065 Köln Mülheim
55,Sonniges großes Zimmer auf Zwischenmiete,"2er WG (0w,1m,0d)",Mitbewohnerin oder Mitbwohner gesucht,21.0,720.0,False,51065 Köln Mülheim
56,Vollmöbliertes WG-Zimmer mit All-Inklusive-Miete sucht Nachmieter*in,"2er WG (0w,1m,0d)",Mitbewohnerin oder Mitbwohner gesucht,16.0,650.0,False,50823 Köln Neuehrenfeld
57,2er WG in Köln-Neuehrenfeld,"5er WG (1w,3m,0d)",Malmännliche,10.0,510.0,75.0,51143 Köln Westhoven
58,Fully furnished cozy room in Cologne,"2er WG (0w,1m,0d)",Mitbewohnerin oder Mitbwohner gesucht,25.0,650.0,120.0,50672 Köln Neustadt-Nord
59,25qm | Belgisches Viertel | 650€ warm,,,,,80.0,
